PERMNO,date,TICKER,PRC,VOL
14593,20181005,AAPL,224.28999,33575176
14593,20181008,AAPL,223.77000,29660651
14593,20181009,AAPL,226.87000,26891929
14593,20181010,AAPL,216.36000,42008196
14593,20181011,AAPL,214.45000,53127001
14593,20181012,AAPL,222.11000,40337354
14593,20181015,AAPL,217.36000,30781606
14593,20181016,AAPL,222.14999,29181563
14593,20181017,AAPL,221.19000,22885302
14593,20181018,AAPL,216.02000,32579515
14593,20181019,AAPL,219.31000,33080889
14593,20181022,AAPL,220.64999,28791082
14593,20181023,AAPL,222.73000,38950162
14593,20181024,AAPL,215.09000,40923563
14593,20181025,AAPL,219.80000,29852618
14593,20181026,AAPL,216.30000,47257879
14593,20181029,AAPL,212.24001,45932425
14593,20181030,AAPL,213.30000,36658742
14593,20181031,AAPL,218.86000,38359479
14593,20181101,AAPL,222.22000,58331798
14593,20181102,AAPL,207.48000,91349313
14593,20181105,AAPL,201.59000,66164146
14593,20181106,AAPL,203.77000,31939211
14593,20181107,AAPL,209.95000,33424757
14593,20181108,AAPL,208.49001,25361461
14593,20181109,AAPL,204.47000,34364958
14593,20181112,AAPL,194.17000,51157880
14593,20181113,AAPL,192.23000,46879636
14593,20181114,AAPL,186.80000,60803862
14593,20181115,AAPL,191.41000,46477007
14593,20181116,AAPL,193.53000,36928131
14593,20181119,AAPL,185.86000,41921937
14593,20181120,AAPL,176.98000,67832035
14593,20181121,AAPL,176.78000,31123011
14593,20181123,AAPL,172.28999,23623972
14593,20181126,AAPL,174.62000,44997072
14593,20181127,AAPL,174.24001,41382277
14593,20181128,AAPL,180.94000,46061542
14593,20181129,AAPL,179.55000,41769792
14593,20181130,AAPL,178.58000,39530489
14593,20181203,AAPL,184.82001,40794741
14593,20181204,AAPL,176.69000,41344113
14593,20181206,AAPL,174.72000,43097763
14593,20181207,AAPL,168.49001,42280931
14593,20181210,AAPL,169.60001,62027294
14593,20181211,AAPL,168.63000,47276065
14593,20181212,AAPL,169.10001,35627037
14593,20181213,AAPL,170.95000,31897762
14593,20181214,AAPL,165.48000,40703010
14593,20181217,AAPL,163.94000,44227262
14593,20181218,AAPL,166.07001,33840420
14593,20181219,AAPL,160.89000,49044699
14593,20181220,AAPL,156.83000,64772300
14593,20181221,AAPL,150.73000,95745920
14593,20181224,AAPL,146.83000,37249292
14593,20181226,AAPL,157.17000,58584634
14593,20181227,AAPL,156.14999,53117005
14593,20181228,AAPL,156.23000,42291347
14593,20181231,AAPL,157.74001,35003466
14593,20190102,AAPL,157.92000,37066356
14593,20190103,AAPL,142.19000,91373695
14593,20190104,AAPL,148.25999,58603001
14593,20190107,AAPL,147.92999,54770364
14593,20190108,AAPL,150.75000,41026062
14593,20190109,AAPL,153.31000,45098881
14593,20190110,AAPL,153.80000,35778275
14593,20190111,AAPL,152.28999,27017204
14593,20190114,AAPL,150.00000,32468877
14593,20190115,AAPL,153.07001,28707624
14593,20190116,AAPL,154.94000,31038506
14593,20190117,AAPL,155.86000,29820196
14593,20190118,AAPL,156.82001,33747398
14593,20190122,AAPL,153.30000,30390836
14593,20190123,AAPL,153.92000,23128770
14593,20190124,AAPL,152.70000,25439969
14593,20190125,AAPL,157.75999,33543693
14593,20190128,AAPL,156.30000,26189758
14593,20190129,AAPL,154.67999,41582339
14593,20190130,AAPL,165.25000,61110767
14593,20190131,AAPL,166.44000,40735850
14593,20190201,AAPL,166.52000,32678838
14593,20190204,AAPL,171.25000,31493982
14593,20190205,AAPL,174.17999,36099339
14593,20190206,AAPL,174.24001,28234691
14593,20190207,AAPL,170.94000,31758590
14593,20190208,AAPL,170.41000,23818606
14593,20190211,AAPL,169.42999,20992225
14593,20190212,AAPL,170.89000,22289660
14593,20190213,AAPL,170.17999,22492533
14593,20190214,AAPL,170.80000,21833598
14593,20190215,AAPL,170.42000,24625614
14593,20190219,AAPL,170.92999,19268826
14593,20190220,AAPL,172.03000,26111462
14593,20190221,AAPL,171.06000,17247080
14593,20190222,AAPL,172.97000,18907829
14593,20190225,AAPL,174.23000,21870758
14593,20190226,AAPL,174.33000,17068911
14593,20190227,AAPL,174.87000,27832500
14593,20190228,AAPL,173.14999,28214816
14593,20190301,AAPL,174.97000,25884817
14593,20190304,AAPL,175.85001,27448424
14593,20190305,AAPL,175.53000,19735919
14593,20190306,AAPL,174.52000,20832292
14593,20190307,AAPL,172.50000,24795166
14593,20190308,AAPL,172.91000,23997584
14593,20190311,AAPL,178.89999,32008934
14593,20190312,AAPL,180.91000,32466191
14593,20190313,AAPL,181.71001,31032024
14593,20190314,AAPL,183.73000,23579408
14593,20190315,AAPL,186.12000,39041265
14593,20190318,AAPL,188.02000,26218632
14593,20190319,AAPL,186.53000,31645700
14593,20190320,AAPL,188.16000,31034436
14593,20190321,AAPL,195.09000,51035993
14593,20190322,AAPL,191.05000,42405890
14593,20190325,AAPL,188.74001,43844370
14593,20190326,AAPL,186.78999,49798847
14593,20190327,AAPL,188.47000,29847108
14593,20190328,AAPL,188.72000,20779811
14593,20190329,AAPL,189.95000,23561761
14593,20190401,AAPL,191.24001,27858987
14593,20190402,AAPL,194.02000,22791540
14593,20190403,AAPL,195.35001,23271030
14593,20190404,AAPL,195.69000,19303875
14593,20190405,AAPL,197.00000,18524554
14593,20190408,AAPL,200.10001,25890849
14593,20190409,AAPL,199.50000,35767039
14593,20190410,AAPL,200.62000,21694194
14593,20190411,AAPL,198.95000,20901963
14593,20190412,AAPL,198.87000,27762780
14593,20190415,AAPL,199.23000,17542846
14593,20190416,AAPL,199.25000,25692516
14593,20190417,AAPL,203.13000,29483980
14593,20190418,AAPL,203.86000,24195522
14593,20190422,AAPL,204.53000,19437945
14593,20190423,AAPL,207.48000,23320966
14593,20190424,AAPL,207.16000,17540709
14593,20190425,AAPL,205.28000,18548766
14593,20190426,AAPL,204.30000,18648802
14593,20190429,AAPL,204.61000,22202685
14593,20190430,AAPL,200.67000,46544289
14593,20190501,AAPL,210.52000,64824888
14593,20190502,AAPL,209.14999,31991644
14593,20190503,AAPL,211.75000,20889860
14593,20190506,AAPL,208.48000,32462506
14593,20190507,AAPL,202.86000,38762998
14593,20190508,AAPL,202.89999,26338504
14593,20190509,AAPL,200.72000,34907732
14593,20190510,AAPL,197.17999,41209333
14593,20190513,AAPL,185.72000,57428248
14593,20190514,AAPL,188.66000,36528577
14593,20190515,AAPL,190.92000,26543819
14593,20190516,AAPL,190.08000,33055064
14593,20190517,AAPL,189.00000,32877900
14593,20190520,AAPL,183.09000,38612734
14593,20190521,AAPL,186.60001,28362748
14593,20190522,AAPL,182.78000,29742557
14593,20190523,AAPL,179.66000,36524451
14593,20190524,AAPL,178.97000,23711486
14593,20190528,AAPL,178.23000,27943231
14593,20190529,AAPL,177.38000,28478896
14593,20190530,AAPL,178.30000,21210823
14593,20190531,AAPL,175.07001,27041199
14593,20190603,AAPL,173.30000,40386569
14593,20190604,AAPL,179.64000,30956074
14593,20190605,AAPL,182.53999,29761727
14593,20190606,AAPL,185.22000,22523211
14593,20190607,AAPL,190.14999,30672393
14593,20190610,AAPL,192.58000,26213291
14593,20190611,AAPL,194.81000,26923682
14593,20190612,AAPL,194.19000,18228389
14593,20190613,AAPL,194.14999,21888245
14593,20190614,AAPL,192.74001,18741774
14593,20190617,AAPL,193.89000,14663494
14593,20190618,AAPL,198.45000,26552004
14593,20190619,AAPL,197.87000,21122515
14593,20190620,AAPL,199.46001,21902988
14593,20190621,AAPL,198.78000,47795010
14593,20190624,AAPL,198.58000,18712221
14593,20190625,AAPL,195.57001,21063643
14593,20190626,AAPL,199.80000,26062169
14593,20190627,AAPL,199.74001,20887907
14593,20190628,AAPL,197.92000,31090917
14593,20190701,AAPL,201.55000,27301274
14593,20190702,AAPL,202.73000,16934518
14593,20190703,AAPL,204.41000,11359745
14593,20190705,AAPL,204.23000,17256918
14593,20190708,AAPL,200.02000,25333443
14593,20190709,AAPL,201.24001,20569915
14593,20190710,AAPL,203.23000,17892756
14593,20190711,AAPL,201.75000,20177392
14593,20190712,AAPL,203.30000,17586813
14593,20190715,AAPL,205.21001,16928121
14593,20190716,AAPL,204.50000,16857399
14593,20190717,AAPL,203.35001,14096678
14593,20190718,AAPL,205.66000,18574811
14593,20190719,AAPL,202.59000,20917720
14593,20190722,AAPL,207.22000,22216354
14593,20190723,AAPL,208.84000,18334380
14593,20190724,AAPL,208.67000,14986867
14593,20190725,AAPL,207.02000,13902767
14593,20190726,AAPL,207.74001,17627074
